#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 0	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 0.00	 2.25	 0.00	 1	 1	 1	 hover	 1495	 1500	 1500	 1000	 0.00	 0.00	 0.00
600	 0.93	 1.38	 -1.22	 1	 1	 1	 hover	 1497	 1501	 1500	 985	 0.00	 0.00	 0.00
700	 4.69	 0.94	 -0.97	 1	 1	 1	 hover	 1498	 1509	 1500	 985	 0.00	 0.00	 0.00
800	 2.71	 1.53	 0.36	 1	 1	 1	 hover	 1496	 1505	 1500	 999	 0.00	 0.00	 0.00
900	 0.65	 1.39	 0.72	 1	 1	 1	 hover	 1497	 1501	 1500	 1005	 0.00	 0.00	 0.00
1000	 0.33	 0.79	 0.81	 1	 1	 1	 hover	 1498	 1500	 1500	 1007	 0.00	 0.00	 0.00
1100	 1.11	 1.33	 0.79	 1	 1	 1	 hover	 1497	 1502	 1500	 1008	 0.00	 0.00	 0.00
1200	 0.91	 0.81	 -0.99	 1	 1	 1	 hover	 1498	 1501	 1500	 989	 0.00	 0.00	 0.00
1300	 0.73	 0.28	 0.40	 1	 1	 1	 hover	 1499	 1501	 1500	 1003	 0.00	 0.00	 0.00
1400	 1.34	 0.33	 0.74	 1	 1	 1	 hover	 1499	 1502	 1500	 1008	 0.00	 0.00	 0.00
1500	 -1.10	 1.34	 0.81	 1	 1	 1	 hover	 1497	 1497	 1500	 1010	 0.00	 0.00	 0.00
1600	 0.14	 1.40	 0.91	 1	 1	 1	 hover	 1497	 1500	 1500	 1013	 0.00	 0.00	 0.00
1700	 5.36	 0.77	 -0.06	 1	 1	 1	 hover	 1498	 1510	 1500	 1003	 0.00	 0.00	 0.00
1800	 2.08	 0.54	 0.76	 1	 1	 1	 hover	 1498	 1504	 1500	 1013	 0.00	 0.00	 0.00
1900	 5.90	 0.39	 0.06	 1	 1	 1	 hover	 1499	 1511	 1500	 1006	 0.00	 0.00	 0.00
2000	 3.42	 -0.04	 0.70	 1	 1	 1	 hover	 1500	 1506	 1500	 1014	 0.00	 0.00	 0.00
2100	 5.09	 0.39	 -0.08	 1	 1	 1	 hover	 1499	 1510	 1500	 1006	 0.00	 0.00	 0.00
2200	 3.52	 0.83	 1.08	 1	 1	 1	 hover	 1498	 1507	 1500	 1020	 0.00	 0.00	 0.00
2300	 1.75	 0.74	 0.40	 1	 1	 1	 hover	 1498	 1503	 1500	 1014	 0.00	 0.00	 0.00
2400	 1.94	 1.04	 1.50	 1	 1	 1	 hover	 1497	 1503	 1500	 1028	 0.00	 0.00	 0.00
2500	 1.78	 0.48	 1.82	 1	 1	 1	 hover	 1499	 1503	 1500	 1035	 0.00	 0.00	 0.00
2600	 6.46	 0.61	 1.20	 1	 1	 1	 hover	 1498	 1512	 1500	 1031	 0.00	 0.00	 0.00
