#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 2.20	 -1.66	 8.97	 1	 1	 1	 hover	 1503	 1504	 1500	 1107	 0.00	 0.00	 0.00
600	 1.45	 -2.51	 11.62	 1	 1	 1	 hover	 1505	 1502	 1500	 1157	 0.00	 0.00	 0.00
700	 0.50	 -1.40	 6.48	 1	 1	 1	 hover	 1502	 1500	 1500	 1118	 0.00	 0.00	 0.00
800	 -2.71	 -0.81	 2.80	 1	 1	 1	 hover	 1501	 1494	 1500	 1087	 0.00	 0.00	 0.00
900	 -7.81	 -1.04	 -1.99	 1	 1	 1	 hover	 1502	 1484	 1500	 1035	 0.00	 0.00	 0.00
1000	 -10.30	 -3.11	 7.63	 1	 1	 1	 hover	 1506	 1479	 1500	 1147	 0.00	 0.00	 0.00
1100	 14.05	 -3.18	 9.51	 1	 1	 1	 hover	 1506	 1528	 1500	 1185	 0.00	 0.00	 0.00
1200	 20.17	 -3.20	 9.99	 1	 1	 1	 hover	 1506	 1540	 1500	 1209	 0.00	 0.00	 0.00
1300	 20.82	 -2.64	 9.90	 1	 1	 1	 hover	 1505	 1541	 1500	 1228	 0.00	 0.00	 0.00
1400	 19.53	 -2.68	 9.98	 1	 1	 1	 hover	 1505	 1539	 1500	 1249	 0.00	 0.00	 0.00
1500	 18.52	 -2.70	 10.27	 1	 1	 1	 hover	 1505	 1537	 1500	 1272	 0.00	 0.00	 0.00
1600	 11.61	 -2.66	 8.15	 1	 1	 1	 hover	 1505	 1523	 1500	 1268	 0.00	 0.00	 0.00
1700	 -5.30	 -2.65	 8.56	 1	 1	 1	 hover	 1505	 1489	 1500	 1289	 0.00	 0.00	 0.00
1800	 3.40	 -2.33	 6.00	 1	 1	 1	 hover	 1504	 1506	 1500	 1275	 0.00	 0.00	 0.00
1900	 3.24	 -2.55	 6.51	 1	 1	 1	 hover	 1505	 1506	 1500	 1293	 0.00	 0.00	 0.00
2000	 5.19	 -2.62	 6.43	 1	 1	 1	 hover	 1505	 1510	 1500	 1305	 0.00	 0.00	 0.00
2100	 3.18	 -2.63	 5.92	 1	 1	 1	 hover	 1505	 1506	 1500	 1312	 0.00	 0.00	 0.00
2200	 -7.11	 -2.59	 1.20	 1	 1	 1	 hover	 1505	 1485	 1500	 1267	 0.00	 0.00	 0.00
2300	 -2.71	 -2.62	 7.25	 1	 1	 1	 hover	 1505	 1494	 1500	 1342	 0.00	 0.00	 0.00
2400	 -1.90	 -2.56	 5.71	 1	 1	 1	 hover	 1505	 1496	 1500	 1338	 0.00	 0.00	 0.00
2500	 -1.42	 -2.57	 5.80	 1	 1	 1	 hover	 1505	 1497	 1500	 1351	 0.00	 0.00	 0.00
