#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -3.56	 -4.13	 0.00	 1	 1	 1	 hover	 1508	 1492	 1500	 1000	 0.00	 0.00	 0.00
600	 -3.02	 -4.47	 1.68	 1	 1	 1	 hover	 1508	 1493	 1500	 1020	 0.00	 0.00	 0.00
700	 -1.69	 -1.11	 2.48	 1	 1	 1	 hover	 1502	 1496	 1500	 1033	 0.00	 0.00	 0.00
800	 -0.33	 0.96	 0.77	 1	 1	 1	 hover	 1498	 1499	 1500	 1017	 0.00	 0.00	 0.00
900	 -0.91	 0.48	 0.80	 1	 1	 1	 hover	 1499	 1498	 1500	 1019	 0.00	 0.00	 0.00
1000	 -2.70	 2.92	 1.33	 1	 1	 1	 hover	 1494	 1494	 1500	 1027	 0.00	 0.00	 0.00
1100	 -1.96	 1.09	 -0.18	 1	 1	 1	 hover	 1497	 1496	 1500	 1011	 0.00	 0.00	 0.00
1200	 -2.22	 0.83	 1.61	 1	 1	 1	 hover	 1498	 1495	 1500	 1033	 0.00	 0.00	 0.00
1300	 -1.97	 0.10	 1.87	 1	 1	 1	 hover	 1499	 1496	 1500	 1039	 0.00	 0.00	 0.00
1400	 3.14	 -0.39	 0.14	 1	 1	 1	 hover	 1500	 1506	 1500	 1022	 0.00	 0.00	 0.00
1500	 1.09	 0.55	 1.22	 1	 1	 1	 hover	 1498	 1502	 1500	 1035	 0.00	 0.00	 0.00
1600	 4.86	 0.26	 -0.20	 1	 1	 1	 hover	 1499	 1509	 1500	 1021	 0.00	 0.00	 0.00
1700	 4.93	 -1.65	 -1.51	 1	 1	 1	 hover	 1503	 1509	 1500	 1004	 0.00	 0.00	 0.00
1800	 1.58	 0.21	 -1.06	 1	 1	 1	 hover	 1499	 1503	 1500	 1007	 0.00	 0.00	 0.00
1900	 -5.03	 -1.11	 -2.21	 1	 1	 1	 hover	 1502	 1489	 1500	 991	 0.00	 0.00	 0.00
2000	 -5.64	 -0.61	 -4.82	 1	 1	 1	 hover	 1501	 1488	 1500	 955	 0.00	 0.00	 0.00
2100	 -2.83	 3.48	 -7.06	 1	 1	 1	 hover	 1493	 1494	 1500	 919	 0.00	 0.00	 0.00
2200	 -5.61	 -5.04	 -12.00	 1	 1	 1	 hover	 1510	 1488	 1500	 845	 0.00	 0.00	 0.00
2300	 5.12	 -5.07	 -11.25	 1	 1	 1	 hover	 1510	 1510	 1500	 830	 0.00	 0.00	 0.00
2400	 1.46	 -4.26	 -23.07	 1	 1	 1	 hover	 1508	 1502	 1500	 666	 0.00	 0.00	 0.00
2500	 -3.44	 0.37	 -29.03	 1	 1	 1	 hover	 1499	 1493	 1500	 548	 0.00	 0.00	 0.00
