#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -0.47	 -0.16	 -2.26	 1	 1	 1	 0	 1500	 1499	 1500	 972	 0.00	 0.00	 0.00
600	 -0.95	 -0.43	 -5.01	 1	 1	 1	 0	 1500	 1498	 1500	 935	 0.00	 0.00	 0.00
700	 -0.98	 -0.31	 -5.82	 1	 1	 1	 0	 1500	 1498	 1500	 915	 0.00	 0.00	 0.00
800	 -0.69	 -0.20	 -7.27	 1	 1	 1	 0	 1500	 1498	 1500	 886	 0.00	 0.00	 0.00
900	 -0.73	 -5.92	 -7.89	 1	 1	 1	 0	 1511	 1498	 1500	 864	 0.00	 0.00	 0.00
1000	 -0.70	 -10.34	 -3.83	 1	 1	 1	 0	 1520	 1498	 1500	 897	 0.00	 0.00	 0.00
1100	 -0.69	 -3.50	 -5.22	 1	 1	 1	 0	 1507	 1498	 1500	 873	 0.00	 0.00	 0.00
1200	 -0.39	 1.16	 -5.97	 1	 1	 1	 0	 1497	 1499	 1500	 853	 0.00	 0.00	 0.00
1300	 -0.27	 -7.46	 -5.93	 1	 1	 1	 0	 1514	 1499	 1500	 842	 0.00	 0.00	 0.00
1400	 -0.59	 -0.34	 -5.93	 1	 1	 1	 0	 1500	 1498	 1500	 830	 0.00	 0.00	 0.00
1500	 -0.70	 -0.56	 -5.87	 1	 1	 1	 0	 1501	 1498	 1500	 819	 0.00	 0.00	 0.00
1600	 -0.40	 -6.55	 -6.37	 1	 1	 1	 0	 1513	 1499	 1500	 801	 0.00	 0.00	 0.00
1700	 -0.34	 -1.13	 -7.13	 1	 1	 1	 0	 1502	 1499	 1500	 779	 0.00	 0.00	 0.00
1800	 -0.24	 -0.49	 -6.24	 1	 1	 1	 0	 1500	 1499	 1500	 776	 0.00	 0.00	 0.00
1900	 -0.37	 -7.00	 -5.96	 1	 1	 1	 0	 1514	 1499	 1500	 766	 0.00	 0.00	 0.00
2000	 -0.37	 -7.39	 -6.06	 1	 1	 1	 0	 1514	 1499	 1500	 753	 0.00	 0.00	 0.00
2100	 -0.31	 -4.38	 -5.95	 1	 1	 1	 0	 1508	 1499	 1500	 743	 0.00	 0.00	 0.00
2200	 -0.58	 -3.94	 -3.55	 1	 1	 1	 0	 1507	 1498	 1500	 759	 0.00	 0.00	 0.00
2300	 -0.59	 -4.50	 -2.94	 1	 1	 1	 0	 1509	 1498	 1500	 760	 0.00	 0.00	 0.00
2400	 -0.58	 -3.90	 -4.45	 1	 1	 1	 0	 1507	 1498	 1500	 736	 0.00	 0.00	 0.00
2500	 -1.06	 -6.33	 -4.82	 1	 1	 1	 0	 1512	 1497	 1500	 722	 0.00	 0.00	 0.00
